Z	Name	A	Configuration
- - - - - - - - - - - - - - - - - - - - - -- - - - - - - - - - - - - -
1	H	1	1s(1)
2	He	4	1s(2)
3	Li	7	1s(2)2s(1)
4	Be	9	1s(2)2s(2)
5	B	11	1s(2)2s(2)2p(1)
6	C	12	1s(2)2s(2)2p(2)
7	N	14	1s(2)2s(2)2p(3)
8	O	16	1s(2)2s(2)2p(4)
9	F	19	1s(2)2s(2)2p(5)
10	Ne	20	1s(2)2s(2)2p(6)
11	Na	23	1s(2)2s(2)2p(6)3s(1)
12	Mg	24	1s(2)2s(2)2p(6)3s(2)
13	Al	27	1s(2)2s(2)2p(6)3s(2)3p(1)
14	Si	28	1s(2)2s(2)2p(6)3s(2)3p(2)
15	P	31	1s(2)2s(2)2p(6)3s(2)3p(3)
16	S	32	1s(2)2s(2)2p(6)3s(2)3p(4)
17	Cl	35	1s(2)2s(2)2p(6)3s(2)3p(5)
18	Ar	40	1s(2)2s(2)2p(6)3s(2)3p(6)
19	K	39	1s(2)2s(2)2p(6)3s(2)3p(6)4s(1)
20	Ca	40	1s(2)2s(2)2p(6)3s(2)3p(6)4s(2)
21	Sc	45	1s(2)2s(2)2p(6)3s(2)3p(6)3d(1)4s(2)
22	Ti	48	1s(2)2s(2)2p(6)3s(2)3p(6)3d(2)4s(2)
23	V	51	1s(2)2s(2)2p(6)3s(2)3p(6)3d(3)4s(2)
24	Cr	52	1s(2)2s(2)2p(6)3s(2)3p(6)3d(5)4s(1)
25	Mn	55	1s(2)2s(2)2p(6)3s(2)3p(6)3d(5)4s(2)
26	Fe	56	1s(2)2s(2)2p(6)3s(2)3p(6)3d(6)4s(2)
27	Co	59	1s(2)2s(2)2p(6)3s(2)3p(6)3d(7)4s(2)
28	Ni	58	1s(2)2s(2)2p(6)3s(2)3p(6)3d(8)4s(2)
29	Cu	63	1s(2)2s(2)2p(6)3s(2)3p(6)3d(10)4s(1)
30	Zn	64	1s(2)2s(2)2p(6)3s(2)3p(6)3d(10)4s(2)
31	Ga	69	1s(2)2s(2)2p(6)3s(2)3p(6)3d(10)4s(2)4p(1)
32	Ge	74	1s(2)2s(2)2p(6)3s(2)3p(6)3d(10)4s(2)4p(2)
33	As	75	1s(2)2s(2)2p(6)3s(2)3p(6)3d(10)4s(2)4p(3)
34	Se	80	1s(2)2s(2)2p(6)3s(2)3p(6)3d(10)4s(2)4p(4)
35	Br	79	1s(2)2s(2)2p(6)3s(2)3p(6)3d(10)4s(2)4p(5)
36	Kr	84	1s(2)2s(2)2p(6)3s(2)3p(6)3d(10)4s(2)4p(6)
37	Rb	85	1s(2)2s(2)2p(6)3s(2)3p(6)3d(10)4s(2)4p(6)5s(1)
38	Sr	88	1s(2)2s(2)2p(6)3s(2)3p(6)3d(10)4s(2)4p(6)5s(2)
39	Y	89	1s(2)2s(2)2p(6)3s(2)3p(6)3d(10)4s(2)4p(6)4d(1)5s(2)
40	Zr	90	1s(2)2s(2)2p(6)3s(2)3p(6)3d(10)4s(2)4p(6)4d(2)5s(2)
41	Nb	93	1s(2)2s(2)2p(6)3s(2)3p(6)3d(10)4s(2)4p(6)4d(4)5s(1)
42	Mo	98	1s(2)2s(2)2p(6)3s(2)3p(6)3d(10)4s(2)4p(6)4d(5)5s(1)
43	Tc	98*	1s(2)2s(2)2p(6)3s(2)3p(6)3d(10)4s(2)4p(6)4d(5)5s(2)
44	Ru	102	1s(2)2s(2)2p(6)3s(2)3p(6)3d(10)4s(2)4p(6)4d(7)5s(1)
45	Rh	103	1s(2)2s(2)2p(6)3s(2)3p(6)3d(10)4s(2)4p(6)4d(8)5s(1)
46	Pd	106	1s(2)2s(2)2p(6)3s(2)3p(6)3d(10)4s(2)4p(6)4d(10)
47	Ag	107	1s(2)2s(2)2p(6)3s(2)3p(6)3d(10)4s(2)4p(6)4d(10)5s(1)
48	Cd	114	1s(2)2s(2)2p(6)3s(2)3p(6)3d(10)4s(2)4p(6)4d(10)5s(2)
49	In	115	1s(2)2s(2)2p(6)3s(2)3p(6)3d(10)4s(2)4p(6)4d(10)5s(2)5p(1)
50	Sn	120	1s(2)2s(2)2p(6)3s(2)3p(6)3d(10)4s(2)4p(6)4d(10)5s(2)5p(2)
51	Sb	121	1s(2)2s(2)2p(6)3s(2)3p(6)3d(10)4s(2)4p(6)4d(10)5s(2)5p(3)
52	Te	130	1s(2)2s(2)2p(6)3s(2)3p(6)3d(10)4s(2)4p(6)4d(10)5s(2)5p(4)
53	I	127	1s(2)2s(2)2p(6)3s(2)3p(6)3d(10)4s(2)4p(6)4d(10)5s(2)5p(5)
54	Xe	132	1s(2)2s(2)2p(6)3s(2)3p(6)3d(10)4s(2)4p(6)4d(10)5s(2)5p(6)
55	Cs	133	1s(2)2s(2)2p(6)3s(2)3p(6)3d(10)4s(2)4p(6)4d(10)5s(2)5p(6)6s(1)
56	Ba	138	1s(2)2s(2)2p(6)3s(2)3p(6)3d(10)4s(2)4p(6)4d(10)5s(2)5p(6)6s(2)
57	La	139	1s(2)2s(2)2p(6)3s(2)3p(6)3d(10)4s(2)4p(6)4d(10)5s(2)5p(6)5d(1)6s(2)
58	Ce	140	1s(2)2s(2)2p(6)3s(2)3p(6)3d(10)4s(2)4p(6)4d(10)5s(2)5p(6)4f(1)5d(1)6s(2)
59	Pr	141	1s(2)2s(2)2p(6)3s(2)3p(6)3d(10)4s(2)4p(6)4d(10)5s(2)5p(6)4f(2)5d(1)6s(2)
60	Nd	142	1s(2)2s(2)2p(6)3s(2)3p(6)3d(10)4s(2)4p(6)4d(10)5s(2)5p(6)4f(4)6s(2)
61	Pm	145*	1s(2)2s(2)2p(6)3s(2)3p(6)3d(10)4s(2)4p(6)4d(10)5s(2)5p(6)4f(5)6s(2)
62	Sm	152	1s(2)2s(2)2p(6)3s(2)3p(6)3d(10)4s(2)4p(6)4d(10)5s(2)5p(6)4f(6)6s(2)
63	Eu	153	1s(2)2s(2)2p(6)3s(2)3p(6)3d(10)4s(2)4p(6)4d(10)5s(2)5p(6)4f(7)6s(2)
64	Gd	158	1s(2)2s(2)2p(6)3s(2)3p(6)3d(10)4s(2)4p(6)4d(10)5s(2)5p(6)4f(7)5d(1)6s(2)
65	Tb	159	1s(2)2s(2)2p(6)3s(2)3p(6)3d(10)4s(2)4p(6)4d(10)5s(2)5p(6)4f(9)6s(2)
66	Dy	164	1s(2)2s(2)2p(6)3s(2)3p(6)3d(10)4s(2)4p(6)4d(10)5s(2)5p(6)4f(10)6s(2)
67	Ho	165	1s(2)2s(2)2p(6)3s(2)3p(6)3d(10)4s(2)4p(6)4d(10)5s(2)5p(6)4f(11)6s(2)
68	Er	166	1s(2)2s(2)2p(6)3s(2)3p(6)3d(10)4s(2)4p(6)4d(10)5s(2)5p(6)4f(12)6s(2)
69	Tm	169	1s(2)2s(2)2p(6)3s(2)3p(6)3d(10)4s(2)4p(6)4d(10)5s(2)5p(6)4f(13)6s(2)
70	Yb	174	1s(2)2s(2)2p(6)3s(2)3p(6)3d(10)4s(2)4p(6)4d(10)5s(2)5p(6)4f(14)6s(2)
71	Lu	175	1s(2)2s(2)2p(6)3s(2)3p(6)3d(10)4s(2)4p(6)4d(10)5s(2)5p(6)4f(14)5d(1)6s(2)
